Date,Open,High,Low,Close,Volume
2016-03-04,4795,4795,4795,4795,40
2016-03-07,4800,4800,4800,4800,40
2016-03-08,4800,4800,4800,4800,3
2016-03-09,4800,4800,4800,4800,10
2016-03-14,4795,4795,4795,4795,5
2016-03-17,4795,4795,4795,4795,10
2016-03-18,4800,4800,4800,4800,11
2016-03-22,4800,4800,4800,4800,2
2016-03-23,4795,4800,4795,4800,10
2016-03-29,4800,4800,4800,4800,10
2016-03-30,4440,4440,4440,4440,5
2016-04-01,4770,4770,4770,4770,10
2016-04-04,4770,5000,4770,5000,44
2016-04-13,5100,5100,5100,5100,2
2016-04-14,5480,5480,5100,5100,325
2016-04-20,5200,5200,5200,5200,19
2016-04-26,5100,5100,5100,5100,4
2016-04-27,5100,5100,5100,5100,32
2016-04-28,5100,5200,5000,5000,67
2016-04-29,5000,5200,5000,5200,76
2016-05-12,5590,5590,5590,5590,2
2016-05-13,6005,6005,6005,6005,8
2016-05-17,6400,6400,6395,6400,201
2016-05-18,6400,6400,6400,6400,85
2016-05-19,6400,6400,6400,6400,67
2016-05-20,6400,6400,6400,6400,49
2016-05-23,6400,6400,6400,6400,20
2016-05-24,6400,6400,6400,6400,118
2016-05-25,6400,6400,6400,6400,10
2016-05-26,6300,6300,6300,6300,13
2016-06-03,6000,6000,5985,5985,7
2016-06-06,5985,5985,5985,5985,9
2016-06-07,5990,5990,5985,5985,22
2016-06-08,6300,6300,6300,6300,30
2016-06-09,6300,6300,6300,6300,3
2016-06-10,6300,6300,6300,6300,9
2016-06-13,6300,6300,6000,6300,103
2016-06-14,6300,6300,6300,6300,20
2016-06-16,6300,6300,6300,6300,35
2016-06-17,6200,6200,6200,6200,9
2016-06-21,6200,6200,6200,6200,1
2016-06-22,6200,6200,6200,6200,3
2016-06-23,6200,6200,6200,6200,7
2016-06-27,6200,6300,6200,6300,30
2016-06-28,6200,6300,6200,6300,25
2016-06-29,6200,6200,6200,6200,5
2016-06-30,6200,6200,6200,6200,21
2016-07-04,6100,6200,6100,6200,65
2016-07-05,6200,6200,6200,6200,5
2016-07-11,6100,6100,6100,6100,4
2016-07-12,6100,6105,6100,6105,29
2016-07-13,6200,6200,6100,6100,22
2016-07-15,6100,6100,6100,6100,10
2016-07-18,6100,6100,6100,6100,3
2016-07-20,6000,6000,6000,6000,5
2016-07-22,6000,6000,6000,6000,16
2016-07-25,6100,6100,6100,6100,5
2016-07-27,6100,6100,6100,6100,1
2016-07-28,6000,6000,6000,6000,14
2016-08-02,6000,6000,6000,6000,15
2016-08-05,5995,5995,5995,5995,30
2016-08-09,5995,5995,5995,5995,10
2016-08-10,5550,5550,5550,5550,21
2016-08-18,5135,5135,5135,5135,10
2016-08-19,5100,5100,5100,5100,2
2016-08-22,5005,5005,5000,5000,16
2016-08-24,4750,4750,4750,4750,22
2016-08-25,5000,5000,4750,4750,51
2016-08-26,5000,5000,5000,5000,11
2016-08-29,5200,5200,5200,5200,5
2016-08-30,5200,5200,5000,5200,80
2016-08-31,4810,4810,4810,4810,50
2016-09-01,4850,4850,4810,4810,94
2016-09-02,4850,4850,4810,4810,26
2016-09-05,4810,4810,4810,4810,12
2016-09-07,4810,4810,4810,4810,63
2016-09-15,5170,5170,5170,5170,10
2016-09-22,4810,4810,4810,4810,8
2016-09-23,4810,5170,4810,5170,6
2016-10-06,5170,5170,5170,5170,5
2016-10-17,4985,4985,4985,4985,26
2016-10-19,4975,4975,4975,4975,1
2016-10-24,4970,4970,4970,4970,2
2016-10-25,4900,4970,4900,4970,100
2016-11-23,4600,4600,4600,4600,40
2016-11-28,4650,4650,4260,4260,10
2016-12-01,3945,3945,3945,3945,17
2016-12-02,3940,3940,3940,3940,2
2016-12-06,3940,3940,3940,3940,5
2016-12-07,3940,3940,3940,3940,4
2016-12-08,3940,3940,3940,3940,1
2016-12-09,3940,3940,3900,3900,3
2016-12-15,3900,3900,3900,3900,4
